name,type,a_dec_deg,l_ra_deg,x_sinA,y_cosAsinL,z_cosAcosL,notes
Canis Major constellation,constellation,-22.0853,102.3607,-0.375986,0.905146,-0.198358,area-centroid (1883 pts)
Canis Minor constellation,constellation,5.9256,114.4627,0.103238,0.905368,-0.411888,area-centroid (935 pts)
Capricornus constellation,constellation,-18.7101,315.5164,-0.320781,-0.663676,0.675747,area-centroid (1957 pts)
Carina constellation,constellation,-62.9611,131.627,-0.890698,0.339804,-0.301978,area-centroid (2433 pts)
Cassiopeia constellation,constellation,62.3544,15.4873,0.885834,0.1239,0.447154,area-centroid (2798 pts)
Centaurus constellation,constellation,-46.0204,196.5882,-0.719587,-0.198245,-0.665502,area-centroid (5285 pts)
Cepheus constellation,constellation,72.053,334.8494,0.951342,-0.130958,0.278924,area-centroid (2807 pts)
Cetus constellation,constellation,-9.1478,24.3336,-0.158982,0.406808,0.899573,area-centroid (5932 pts)
Chamaeleon constellation,constellation,-80.1117,159.7019,-0.985144,0.059574,-0.161064,area-centroid (633 pts)
Circinus constellation,constellation,-63.5441,221.7527,-0.895278,-0.296672,-0.332361,area-centroid (474 pts)
Columba constellation,constellation,-35.574,86.5566,-0.581754,0.811896,0.048852,area-centroid (1271 pts)
Coma Berenices constellation,constellation,22.517,191.1304,0.382957,-0.178327,-0.90639,area-centroid (1908 pts)
Corona Australis constellation,constellation,-41.1414,279.4445,-0.657919,-0.742881,0.123576,area-centroid (642 pts)
Corona Borealis constellation,constellation,32.3727,238.6205,0.535424,-0.721052,-0.439778,area-centroid (839 pts)
Corvus constellation,constellation,-18.0775,186.2945,-0.310304,-0.104227,-0.944906,area-centroid (863 pts)
Crater constellation,constellation,-15.8119,171.0784,-0.27248,0.149215,-0.950521,area-centroid (1368 pts)
Crux constellation,constellation,-60.0778,186.5162,-0.866704,-0.056608,-0.495601,area-centroid (344 pts)
Cygnus constellation,constellation,43.3749,309.2829,0.686769,-0.562623,0.460221,area-centroid (3930 pts)
Delphinus constellation,constellation,12.3967,310.3768,0.21468,-0.744039,0.632707,area-centroid (895 pts)
Dorado constellation,constellation,-61.4333,75.8216,-0.878261,0.463616,0.117127,area-centroid (870 pts)
Draco constellation,constellation,68.2758,254.1947,0.928976,-0.356146,-0.100815,area-centroid (5305 pts)
Equuleus constellation,constellation,7.5926,318.4497,0.132128,-0.657462,0.741812,area-centroid (305 pts)
Eridanus constellation,constellation,-21.0343,56.9254,-0.358928,0.782124,0.509366,area-centroid (5522 pts)
Fornax constellation,constellation,-31.6431,41.7019,-0.524626,0.566353,0.635619,area-centroid (1911 pts)
Gemini constellation,constellation,23.5978,107.1727,0.400314,0.875525,-0.270564,area-centroid (2536 pts)
Grus constellation,constellation,-45.4905,337.6536,-0.713134,-0.266535,0.648382,area-centroid (1761 pts)
Hercules constellation,constellation,28.5278,259.7489,0.477585,-0.864561,-0.156356,area-centroid (5833 pts)
Horologium constellation,constellation,-53.5501,49.1959,-0.804376,0.449718,0.388243,area-centroid (1227 pts)
Hydra constellation,constellation,-19.028,156.387,-0.32603,0.378671,-0.866206,area-centroid (6255 pts)
Hydrus constellation,constellation,-71.6719,35.9231,-0.949271,0.184493,0.25465,area-centroid (1193 pts)
Indus constellation,constellation,-58.5573,322.0978,-0.853162,-0.320455,0.41161,area-centroid (1490 pts)
Lacerta constellation,constellation,45.0779,337.4713,0.708068,-0.270557,0.652257,area-centroid (958 pts)
Leo constellation,constellation,15.0944,160.4907,0.260411,0.322437,-0.910066,area-centroid (4616 pts)
Leo Minor constellation,constellation,33.5628,155.3394,0.552851,0.347679,-0.757281,area-centroid (1146 pts)
Lepus constellation,constellation,-19.1301,83.6571,-0.327714,0.938994,0.104377,area-centroid (1461 pts)
Libra constellation,constellation,-15.4122,228.4629,-0.265761,-0.721609,-0.639259,area-centroid (2618 pts)
Lupus constellation,constellation,-42.3451,229.9897,-0.673594,-0.566099,-0.475187,area-centroid (1589 pts)
Lynx constellation,constellation,46.5734,121.2138,0.726256,0.587913,-0.356246,area-centroid (2652 pts)
Lyra constellation,constellation,36.8206,282.5305,0.599312,-0.781448,0.173679,area-centroid (1402 pts)
Mensa constellation,constellation,-77.5397,82.0325,-0.976446,0.213681,0.029907,area-centroid (730 pts)
Microscopium constellation,constellation,-36.0388,314.7382,-0.588333,-0.574386,0.569162,area-centroid (1029 pts)
Monoceros constellation,constellation,-2.5063,105.1232,-0.04373,0.964444,-0.260646,area-centroid (2282 pts)
Musca constellation,constellation,-70.1703,188.1164,-0.940705,-0.047894,-0.335828,area-centroid (689 pts)
Norma constellation,constellation,-51.5318,241.1306,-0.782953,-0.54477,-0.30035,area-centroid (822 pts)
Octans constellation,constellation,-84.3651,318.9816,-0.995168,-0.064441,0.074083,area-centroid (1375 pts)
Ophiuchus constellation,constellation,-5.2367,259.4576,-0.09127,-0.979017,-0.182199,area-centroid (4571 pts)
Orion constellation,constellation,5.0787,83.9375,0.088524,0.990503,0.105199,area-centroid (2941 pts)
Pavo constellation,constellation,-65.473,293.9052,-0.909766,-0.379512,0.168218,area-centroid (1861 pts)
Pegasus constellation,constellation,19.5223,340.4692,0.334174,-0.315094,0.888281,area-centroid (5474 pts)
Perseus constellation,constellation,44.3368,53.0741,0.698874,0.571776,0.429705,area-centroid (2965 pts)
Phoenix constellation,constellation,-47.7203,11.6899,-0.739869,0.136309,0.658797,area-centroid (2330 pts)
Pictor constellation,constellation,-52.4378,83.8139,-0.792692,0.606073,0.065691,area-centroid (1183 pts)
Pisces constellation,constellation,10.9913,9.5293,0.19066,0.162515,0.96811,area-centroid (4218 pts)
Piscis Austrinus constellation,constellation,-30.7517,334.0134,-0.511319,-0.376551,0.772504,area-centroid (1205 pts)
Puppis constellation,constellation,-33.1626,114.9642,-0.547017,0.758911,-0.353309,area-centroid (3326 pts)
Pyxis constellation,constellation,-28.338,133.5528,-0.474671,0.637889,-0.606452,area-centroid (1095 pts)
Reticulum constellation,constellation,-60.7426,58.3294,-0.872433,0.415952,0.256602,area-centroid (540 pts)
Sagitta constellation,constellation,18.7056,295.4757,0.320706,-0.855082,0.407409,area-centroid (418 pts)
Sagittarius constellation,constellation,-27.8352,287.5476,-0.466931,-0.843145,0.266612,area-centroid (4236 pts)
Scorpius constellation,constellation,-32.4352,251.724,-0.536346,-0.801424,-0.264673,area-centroid (2334 pts)
Sculptor constellation,constellation,-32.1846,6.9828,-0.532649,0.102891,0.840059,area-centroid (2283 pts)
Scutum constellation,constellation,-9.7694,280.0835,-0.169683,-0.970276,0.172545,area-centroid (519 pts)
Serpens constellation,constellation,4.8814,247.4491,0.085093,-0.920189,-0.382113,area-centroid (3142 pts)
Sextans constellation,constellation,-2.8741,154.3228,-0.050142,0.432756,-0.900116,area-centroid (1469 pts)
Taurus constellation,constellation,17.0037,65.8153,0.292434,0.872352,0.39177,area-centroid (3876 pts)
Telescopium constellation,constellation,-51.3835,290.0226,-0.781341,-0.586382,0.213688,area-centroid (1201 pts)
Triangulum constellation,constellation,32.0293,32.3006,0.530352,0.453019,0.716589,area-centroid (653 pts)
Triangulum Australe constellation,constellation,-65.9637,241.0739,-0.913288,-0.3565,-0.19701,area-centroid (517 pts)
Tucana constellation,constellation,-64.533,357.8621,-0.902833,-0.016041,0.429692,area-centroid (1395 pts)
Ursa Major constellation,constellation,54.5568,165.2067,0.814691,0.148066,-0.560674,area-centroid (6255 pts)
Ursa Minor constellation,constellation,76.8523,225.9095,0.973787,-0.163373,-0.158267,area-centroid (1234 pts)
Vela constellation,constellation,-48.0614,144.2857,-0.743861,0.390136,-0.542645,area-centroid (2354 pts)
Virgo constellation,constellation,-2.7887,199.5151,-0.048653,-0.333659,-0.941438,area-centroid (6132 pts)
Volans constellation,constellation,-69.5601,117.4288,-0.937039,0.309967,-0.160869,area-centroid (707 pts)
Vulpecula constellation,constellation,24.887,304.6936,0.42083,-0.745857,0.516332,area-centroid (1280 pts)
